# ATOMS 2.47c   by Bruce Ravel
# Barium Titanate from Kwei et al., using 300K data                       
# J Phys Chem, 97, 2368, 1993                                             
# reflection: ( 2, 0, 0)
# core: ti         edge: k 
#------------------------------------------------------------
#     e    e-e0    real(a0)    imag(a0)    f'_core    f"_core
     3995.0002     -970.0000    106.6377      7.4018      2.6926      0.6588
     4015.0002     -950.0000    105.1196      7.3441      2.2584      0.6526
     4035.0002     -930.0000    103.6896      7.2869      1.8517      0.6464
     4055.0002     -910.0000    102.3445      7.2304      1.4716      0.6404
     4075.0002     -890.0000    101.0813      7.1744      1.1171      0.6345
     4095.0002     -870.0000     99.8971      7.1190      0.7872      0.6286
     4115.0000     -850.0000     98.7888      7.0642      0.4808      0.6229
     4135.0000     -830.0000     97.7535      7.0100      0.1969      0.6173
     4155.0000     -810.0000     96.7881      6.9563     -0.0655      0.6117
     4175.0000     -790.0000     95.8895      6.9032     -0.3075      0.6063
     4195.0000     -770.0000     95.0550      6.8506     -0.5299      0.6009
     4215.0000     -750.0000     94.2813      6.7986     -0.7339      0.5956
     4235.0000     -730.0000     93.5656      6.7471     -0.9204      0.5904
     4255.0000     -710.0000     92.9047      6.6961     -1.0906      0.5853
     4275.0000     -690.0000     92.2959      6.6457     -1.2453      0.5803
     4295.0000     -670.0000     91.7358      6.5959     -1.3856      0.5753
     4315.0000     -650.0000     91.2217      6.5465     -1.5126      0.5704
     4335.0000     -630.0000     90.7505      6.4976     -1.6271      0.5656
     4355.0000     -610.0000     90.3191      6.4493     -1.7304      0.5609
     4375.0000     -590.0000     89.9247      6.4015     -1.8233      0.5563
     4395.0000     -570.0000     89.5641      6.3541     -1.9069      0.5517
     4415.0000     -550.0000     89.2344      6.3073     -1.9822      0.5472
     4435.0000     -530.0000     88.9325      6.2610     -2.0503      0.5427
     4455.0000     -510.0000     88.6556      6.2151     -2.1120      0.5383
     4475.0000     -490.0000     88.4005      6.1697     -2.1686      0.5340
     4495.0000     -470.0000     88.1643      6.1248     -2.2209      0.5298
     4515.0000     -450.0000     87.9439      6.0803     -2.2699      0.5256
     4535.0000     -430.0000     87.7364      6.0363     -2.3168      0.5214
     4555.0000     -410.0000     87.5387      5.9928     -2.3625      0.5173
     4575.0000     -390.0000     87.3478      5.9497     -2.4081      0.5133
     4595.0000     -370.0000     87.1608      5.9070     -2.4544      0.5093
     4615.0000     -350.0000     86.9747      5.8648     -2.5027      0.5054
     4635.0000     -330.0000     86.7863      5.8231     -2.5538      0.5015
     4655.0000     -310.0000     86.5928      5.7817     -2.6088      0.4977
     4675.0000     -290.0000     86.3911      5.7408     -2.6687      0.4939
     4695.0000     -270.0000     86.1783      5.7003     -2.7346      0.4902
     4715.0000     -250.0000     85.9512      5.6602     -2.8074      0.4865
     4735.0000     -230.0000     85.7070      5.6205     -2.8882      0.4828
     4755.0000     -210.0000     85.4425      5.5812     -2.9779      0.4792
     4775.0000     -190.0000     85.1625      5.5423     -3.0738      0.4756
     4795.0000     -170.0000     84.8543      5.5038     -3.1818      0.4720
     4815.0000     -150.0000     84.5065      5.4656     -3.3069      0.4685
     4835.0000     -130.0000     84.1188      5.4279     -3.4489      0.4650
     4855.0000     -110.0000     83.6741      5.3906     -3.6159      0.4616
     4875.0000      -90.0000     83.1459      5.3537     -3.8206      0.4582
     4895.0000      -70.0000     82.5037      5.3172     -4.0778      0.4548
     4915.0000      -50.0000     81.6758      5.2810     -4.4228      0.4515
     4935.0000      -30.0000     80.4783      5.2444     -4.9471      0.4478
     4955.0000      -10.0000     78.1137      5.2100     -6.0489      0.4450
     4975.0000       10.0000     77.2386     12.2847     -6.3996      3.9967
     4995.0000       30.0000     79.8886     12.1959     -4.9808      3.9664
     5015.0000       50.0000     80.9651     12.1082     -4.3420      3.9365
     5035.0000       70.0000     81.5719     12.0218     -3.9293      3.9071
     5055.0000       90.0000     81.9520     11.9365     -3.6207      3.8782
     5075.0000      110.0000     82.1879     11.8525     -3.3719      3.8497
     5095.0000      130.0000     82.3032     11.7697     -3.1660      3.8218
     5115.0000      150.0000     82.3236     11.6878     -2.9886      3.7941
     5135.0000      170.0000     82.2537     11.6069     -2.8311      3.7668
     5155.0000      190.0000     82.0613     11.5274     -2.6944      3.7401
     5175.0000      210.0000     81.7333     11.4498     -2.5740      3.7142
     5195.0000      230.0000     81.2018     11.3749     -2.4646      3.6895
     5215.0000      250.0000     80.2683     11.3019     -2.3676      3.6656
     5235.0000      270.0000     78.2063     11.2306     -2.2816      3.6424
     5255.0000      290.0000     77.2678     18.4815     -2.2051      3.6199
     5275.0000      310.0000     80.4315     18.3421     -2.1292      3.5977
     5295.0000      330.0000     81.8442     18.2051     -2.0520      3.5757
     5315.0000      350.0000     82.7867     18.0698     -1.9788      3.5541
     5335.0000      370.0000     83.4889     17.9373     -1.9093      3.5329
     5355.0000      390.0000     84.0496     17.8072     -1.8434      3.5120
     5375.0000      410.0000     84.5068     17.6793     -1.7810      3.4916
     5395.0000      430.0000     84.8914     17.5536     -1.7218      3.4714
     5415.0000      450.0000     85.2131     17.4301     -1.6658      3.4516
     5435.0000      470.0000     85.4806     17.3088     -1.6127      3.4320
     5455.0000      490.0000     85.7166     17.1893     -1.5625      3.4128
     5475.0000      510.0000     85.8953     17.0716     -1.5149      3.3938
     5495.0000      530.0000     85.9483     16.9569     -1.4698      3.3750
     5515.0000      550.0000     85.9451     16.8487     -1.4231      3.3560
     5535.0000      570.0000     85.9628     16.7483     -1.3770      3.3369
     5555.0000      590.0000     85.9250     16.6499     -1.3326      3.3180
     5575.0000      610.0000     85.7717     16.5522     -1.2900      3.2992
     5595.0000      630.0000     85.3904     16.4551     -1.2490      3.2806
     5615.0000      650.0000     84.2504     16.3588     -1.2096      3.2621
     5635.0000      670.0000     84.7068     19.9102     -1.1718      3.2438
     5655.0000      690.0000     86.1102     19.7842     -1.1355      3.2257
     5675.0000      710.0000     86.8745     19.6596     -1.1007      3.2077
     5695.0000      730.0000     87.4229     19.5364     -1.0673      3.1899
     5715.0000      750.0000     87.8619     19.4146     -1.0352      3.1722
     5735.0000      770.0000     88.2341     19.2942     -1.0045      3.1546
     5755.0000      790.0000     88.5510     19.1752     -0.9750      3.1372
     5775.0000      810.0000     88.8306     19.0577     -0.9467      3.1200
     5795.0000      830.0000     89.0756     18.9412     -0.9196      3.1029
     5815.0000      850.0000     89.2935     18.8257     -0.8936      3.0859
     5835.0000      870.0000     89.4891     18.7117     -0.8686      3.0691
     5855.0000      890.0000     89.6520     18.5992     -0.8447      3.0524
     5875.0000      910.0000     89.7598     18.4872     -0.8217      3.0359
     5895.0000      930.0000     89.8291     18.3778     -0.7996      3.0195
     5915.0000      950.0000     89.8783     18.2731     -0.7783      3.0032
     5935.0000      970.0000     89.8936     18.1728     -0.7579      2.9871
     5955.0000      990.0000     89.8152     18.0716     -0.7382      2.9711
     5975.0000     1010.0000     89.4923     17.9717     -0.7192      2.9552
